PairID,Date,TimeID,Block.ID,LastFire,Btreatment,Streatment,StartTime,EndTime,TestDur,ZRemNo,RemNo,Rem,Latency,RemTime,Hour,Weather.conditions,Notes,TimeSiteID,norempair
1,11/20/2021,Time1,1,F,BURN,FRUIT,9:10,,12:24,9,9,1,3.433,11:15,11,Clear,NA,Time1_1,0
1,11/20/2021,Time1,1,F,BURN,CONTROL,9:05,,24.517,0,NA,0,24,NA,NA,Clear,,Time1_1,0
10,11/20/2021,Time1,6,F,SCRUB,FRUIT,10:00,,20:48,3,3,1,1.8,11:48,11,Clear,,Time1_6,0
10,11/20/2021,Time1,6,F,SCRUB,CONTROL,10:05,,20:48,1,1,1,1.583,11:39,11,Clear,,Time1_6,0
11,11/20/2021,Time1,7,F,BURN,FRUIT,11:37,,25.95,0,NA,0,24,NA,NA,Clear,,Time1_7,1
11,11/20/2021,Time1,7,F,BURN,CONTROL,10:54,,26.083,0,NA,0,24,NA,NA,Clear,,Time1_7,1
12,11/20/2021,Time1,7,F,SCRUB,FRUIT,11:45,,26.333,3,3,1,3.933,15:41,15,Clear,,Time1_7,0
12,11/20/2021,Time1,7,F,SCRUB,CONTROL,11:42,,24.283,0,NA,0,24,NA,NA,Clear,,Time1_7,0
13,11/20/2021,Time1,8,F,BURN,FRUIT,9:01,,26.183,6,6,0,24,NA,NA,Clear,animal defecated at site during trial,Time1_8,1
13,11/20/2021,Time1,8,F,BURN,CONTROL,7:57,,24.35,0,NA,0,24,NA,NA,Clear,,Time1_8,1
14,11/20/2021,Time1,8,F,SCRUB,FRUIT,8:05,,24.583,5,5,1,16.45,0:32,0,Clear,,Time1_8,0
14,11/20/2021,Time1,8,F,SCRUB,CONTROL,8:07,,24.767,0,NA,0,24,NA,NA,Clear,,Time1_8,0
15,11/21/2021,Time1,1,F,BURN,FRUIT,10:02,,21.483,0,NA,0,24,NA,NA,Clear,,Time1_1,1
15,11/21/2021,Time1,1,F,BURN,CONTROL,9:43,,21.817,0,NA,0,24,NA,NA,Clear,,Time1_1,1
16,11/21/2021,Time1,1,F,SCRUB,FRUIT,10:37,,20.7,6,6,1,1.9,12:31,12,Clear,,Time1_1,0
16,11/21/2021,Time1,1,F,SCRUB,CONTROL,11:19,,20.367,0,NA,0,24,NA,NA,Clear,,Time1_1,0
17,11/21/2021,Time1,6,F,BURN,FRUIT,11:51,,22.6,0,NA,0,24,NA,NA,Clear,,Time1_6,1
17,11/21/2021,Time1,6,F,BURN,CONTROL,9:53,,25.583,0,NA,0,24,NA,NA,Clear,,Time1_6,1
18,11/21/2021,Time1,6,F,SCRUB,FRUIT,11:26,,24.55,0,NA,0,24,NA,NA,Clear,,Time1_6,1
18,11/21/2021,Time1,6,F,SCRUB,CONTROL,11:19,,24.667,0,NA,0,24,NA,NA,Clear,,Time1_6,1
19,11/21/2021,Time1,7,F,BURN,FRUIT,NA,,NA,3,3,1,15.017,2:38,2,Clear,,Time1_7,0
19,11/21/2021,Time1,7,F,BURN,CONTROL,1:52,,23.383,0,NA,0,24,NA,NA,Clear,,Time1_7,0
2,11/20/2021,Time1,1,F,SCRUB,FRUIT,NA,,NA,3,3,1,2.417,11:02,11,Clear,,Time1_1,0
2,11/20/2021,Time1,1,F,SCRUB,CONTROL,9:20,,24.833,0,NA,0,24,NA,NA,Clear,,Time1_1,0
20,11/21/2021,Time1,7,F,SCRUB,FRUIT,2:18,,23.117,1,1,1,2.967,17:16,17,Clear,,Time1_7,0
20,11/21/2021,Time1,7,F,SCRUB,CONTROL,NA,,NA,0,NA,0,24,NA,NA,Clear,,Time1_7,0
21,11/21/2021,Time1,8,F,BURN,FRUIT,9:38,,22.4,3,3,1,1.517,11:09,11,Clear,,Time1_8,0
21,11/21/2021,Time1,8,F,BURN,CONTROL,8:29,,22.5,9,9,1,1.367,9:51,9,Clear,,Time1_8,0
22,11/21/2021,Time1,8,F,SCRUB,FRUIT,9:03,,22.05,0,NA,0,24,NA,NA,Clear,,Time1_8,1
22,11/21/2021,Time1,8,F,SCRUB,CONTROL,9:14,,21.95,0,NA,0,24,NA,NA,Clear,,Time1_8,1
23,1/14/2022,Time2,1,W,BURN,CONTROL,7:40,,25.8,0,NA,0,24,NA,NA,Clear,,Time2_1,0
23,1/14/2022,Time2,1,W,BURN,FRUIT,7:35,,25.75,1,1,1,4.617,12:12,12,Clear,,Time2_1,0
24,1/14/2022,Time2,1,W,SCRUB,CONTROL,7:45,,25.983,3,3,1,4.317,12:05,12,Clear,,Time2_1,0
24,1/14/2022,Time2,1,W,SCRUB,FRUIT,7:43,,26.283,0,NA,0,24,NA,NA,Clear,,Time2_1,0
25,1/14/2022,Time2,4,W,BURN,CONTROL,7:07,,24.883,0,NA,0,24,NA,NA,Clear,23:44 - Opilionid,Time2_4,0
25,1/14/2022,Time2,4,W,BURN,FRUIT,7:13,,25.05,7,7,1,24,12:01,12,Clear,,Time2_4,0
